source_id,target_id,relationship_type,weight,interaction_freq
E00562,E02134,parent_company,0.37,36
E00864,E00503,co-investor,0.75,10
E00147,E00963,shared_director,0.68,30
E00468,E00088,shared_director,0.85,18
E01139,E02410,shared_director,0.37,6
E00245,E01144,shared_director,0.55,25
E01576,E01819,supplier,0.3,25
E00756,E02704,shared_director,0.58,43
E01250,E00129,co-investor,0.94,39
E01378,E01076,parent_company,0.78,22
E02546,E01778,shared_director,0.8,48
E00234,E00448,shared_director,0.96,44
E01178,E02191,shared_director,0.48,47
E02328,E02126,co-investor,0.25,25
E01915,E00976,parent_company,0.92,18
E02796,E01124,supplier,1.0,50
E02224,E01212,co-investor,0.61,3
E02522,E01124,co-investor,0.34,17
E02675,E02491,supplier,0.21,37
E02707,E01315,co-investor,0.86,29
E01896,E00071,shared_director,0.11,3
E01470,E01967,parent_company,0.47,38
E00326,E01133,co-investor,0.96,29
E00737,E01057,co-investor,0.33,32
E00522,E00932,parent_company,0.23,40
E02687,E00204,parent_company,0.2,3
E00755,E02804,shared_director,0.62,3
E02267,E00934,supplier,0.96,17
E01055,E00067,co-investor,0.59,3
E02460,E00962,co-investor,0.2,33
E01818,E00464,supplier,0.31,21
E02337,E01522,shared_director,0.16,28
E01160,E00587,supplier,0.39,24
E01373,E01672,co-investor,0.52,19
E02548,E00128,parent_company,0.43,19
E00615,E02422,supplier,0.2,14
E01283,E02093,co-investor,0.95,25
E02387,E00134,parent_company,0.44,42
E00322,E00317,parent_company,0.61,37
E02582,E02246,shared_director,0.59,8
E02162,E00211,shared_director,0.69,34
E01807,E01299,co-investor,0.28,37
E01201,E01000,co-investor,0.32,50
E01483,E00946,shared_director,0.38,8
E02839,E00988,shared_director,0.76,27
E01483,E00327,co-investor,0.6,5
E01484,E02677,shared_director,0.64,29
E01716,E00942,parent_company,0.93,16
E01670,E02762,parent_company,0.64,19
E01400,E01286,supplier,0.17,27
E02069,E00608,shared_director,0.67,50
E00812,E00737,shared_director,0.11,8
E01715,E01079,shared_director,0.77,9
E00140,E01768,supplier,0.72,5
E00543,E02110,shared_director,0.91,23
E00523,E01648,parent_company,0.74,8
E01380,E01379,supplier,0.99,3
E00303,E01454,shared_director,0.92,41
E01843,E01785,co-investor,0.78,45
E00552,E00752,supplier,0.24,1
E02432,E02430,co-investor,0.71,30
E01554,E01313,shared_director,0.26,47
E02409,E01145,supplier,0.31,32
E01398,E00198,shared_director,0.36,25
E01305,E00731,parent_company,0.14,48
E00863,E01764,co-investor,0.62,40
E01288,E00408,co-investor,0.36,8
E01180,E01122,shared_director,0.5,11
E01182,E01063,supplier,0.93,43
E01142,E00578,supplier,0.29,33
E00692,E00113,supplier,0.96,35
E02204,E00800,supplier,0.54,2
E01514,E00833,co-investor,0.95,37
E01747,E01823,parent_company,0.85,19
E00449,E02934,supplier,0.5,28
E02021,E01078,supplier,0.88,18
E02740,E00478,co-investor,0.82,48
E00912,E00305,co-investor,0.24,22
E01131,E01858,supplier,0.74,21
E00158,E01776,supplier,0.94,34
E01301,E00780,supplier,0.95,41
E00033,E01008,parent_company,0.63,15
E02759,E00802,co-investor,0.52,32
E00767,E02035,co-investor,0.22,41
E00364,E02115,parent_company,0.1,5
E02010,E02285,parent_company,0.74,3
E01713,E02818,co-investor,0.65,41
E02392,E00962,co-investor,0.54,43
E00738,E01230,parent_company,0.89,43
E01987,E02008,shared_director,0.64,35
E01971,E01211,supplier,0.3,49
E01177,E01719,shared_director,0.39,43
E01741,E00475,parent_company,0.52,21
E02706,E00466,co-investor,0.73,46
E00525,E01982,shared_director,0.64,44
E00962,E00119,co-investor,0.34,14
E01676,E00250,co-investor,0.34,21
E01685,E01604,shared_director,0.48,17
E00224,E01100,shared_director,0.76,22
E02607,E00187,co-investor,0.5,15
E02345,E00683,parent_company,0.8,8
E02513,E02502,co-investor,0.22,35
E00082,E00087,shared_director,0.18,46
E01366,E01445,supplier,0.69,34
E00863,E01484,parent_company,0.99,35
E01621,E00940,co-investor,0.82,24
E01358,E01694,parent_company,0.6,16
E00056,E00148,supplier,0.78,34
E00420,E02055,shared_director,0.81,3
E00643,E01160,co-investor,0.12,41
E02819,E01013,supplier,0.35,8
E01548,E02685,shared_director,0.22,48
E01106,E00348,supplier,0.17,47
E02882,E01702,supplier,0.11,35
E02478,E00622,supplier,0.76,26
E00796,E02481,co-investor,0.81,28
E02099,E00096,co-investor,0.35,13
E00409,E01083,shared_director,0.44,28
E00382,E00911,shared_director,0.6,31
E01165,E02879,parent_company,0.44,32
E01613,E01527,supplier,0.51,37
E00102,E01628,parent_company,0.5,31
E02307,E00447,co-investor,0.4,41
E00343,E00391,parent_company,0.29,32
E02431,E01024,supplier,0.23,40
E01940,E02144,parent_company,0.15,32
E01033,E01687,co-investor,0.77,10
E00150,E01317,shared_director,0.88,18
E02828,E00857,shared_director,0.59,21
E02671,E00966,co-investor,0.52,31
E02108,E02273,supplier,0.93,28
E02865,E00318,shared_director,0.21,1
E00664,E02130,supplier,0.25,29
E00466,E00160,shared_director,0.55,41
E02149,E01996,parent_company,0.77,36
E01713,E01636,supplier,0.37,28
E01206,E02772,co-investor,0.57,40
E01523,E02310,parent_company,0.23,34
E02806,E00838,co-investor,0.57,17
E01934,E01896,parent_company,0.94,48
E00555,E00673,shared_director,0.11,27
E00735,E00616,shared_director,0.16,1
E01278,E02874,parent_company,0.28,7
E02203,E01879,co-investor,0.19,40
E01920,E02435,parent_company,0.16,41
E02291,E00926,co-investor,0.67,13
E01125,E01165,shared_director,0.63,20
E01505,E02558,shared_director,0.94,36
E02217,E02628,parent_company,0.17,10
E00422,E00887,co-investor,0.26,37
E00420,E00519,shared_director,0.4,50
E02426,E02478,co-investor,0.97,48
E02523,E02739,shared_director,0.29,1
E00950,E00887,supplier,0.94,40
E00601,E00588,parent_company,0.53,1
E01325,E00319,supplier,0.22,29
E01743,E02724,shared_director,0.39,33
E00481,E00987,shared_director,0.44,25
E02893,E01944,co-investor,0.38,34
E01299,E02174,supplier,0.89,14
E00681,E02596,co-investor,0.74,28
E02296,E01809,shared_director,0.73,17
E02808,E00493,shared_director,0.69,12
E00104,E01498,shared_director,0.79,23
E01738,E00876,parent_company,0.44,12
E00044,E00803,shared_director,0.42,13
E00023,E02402,co-investor,0.4,24
E01040,E02060,supplier,0.65,3
E02652,E01127,shared_director,0.46,45
E02885,E01037,co-investor,0.66,37
E00125,E01929,shared_director,0.54,31
E02653,E02235,supplier,0.13,2
E02511,E02922,parent_company,0.74,12
E00540,E00340,shared_director,0.85,8
E00230,E01817,supplier,0.38,35
E01137,E00796,supplier,0.4,44
E01297,E02906,parent_company,0.92,38
E01501,E02115,supplier,0.95,26
E01706,E02735,supplier,0.16,49
E02055,E00605,co-investor,0.18,29
E00183,E01129,parent_company,0.72,27
E00709,E02603,supplier,0.38,36
E01437,E00483,co-investor,0.52,45
E00353,E02320,shared_director,0.18,6
E00748,E00354,parent_company,0.39,41
E00083,E00694,supplier,0.3,24
E01886,E00333,parent_company,0.38,44
E02631,E00783,parent_company,0.38,25
E02892,E01176,parent_company,0.35,37
E01293,E01696,parent_company,0.85,18
E00817,E00726,co-investor,0.33,29
E01084,E00379,shared_director,0.42,24
E01429,E02629,shared_director,0.85,44
E00699,E00151,shared_director,0.24,37
E00863,E02877,shared_director,0.41,44
E01183,E00850,co-investor,0.73,33
E02260,E01102,supplier,0.56,14
E01058,E00894,shared_director,0.33,8
E02118,E02697,parent_company,0.53,30
E02404,E01323,co-investor,0.61,43
E02411,E00139,co-investor,0.73,41
E01470,E00033,parent_company,0.48,22
E01380,E02654,supplier,0.27,23
E01255,E00667,shared_director,0.59,49
E00090,E01799,shared_director,0.63,45
E01782,E01636,shared_director,0.85,17
E01529,E02462,co-investor,0.53,26
E01230,E00165,parent_company,0.79,33
E00442,E01725,shared_director,0.8,37
E01642,E02430,supplier,0.25,11
E01232,E02445,parent_company,0.96,37
E00572,E00533,co-investor,0.81,4
E00371,E01267,parent_company,0.82,30
E01622,E00678,shared_director,0.1,10
E00821,E00705,co-investor,0.38,12
E00968,E00833,shared_director,0.18,16
E00632,E02805,co-investor,0.1,11
E01412,E00410,shared_director,0.59,26
E02863,E00871,shared_director,0.7,30
E02893,E00995,supplier,0.45,21
E00547,E01638,co-investor,0.91,44
E01740,E02446,shared_director,0.58,23
E02001,E02744,supplier,0.3,39
E00730,E00964,co-investor,0.43,33
E00007,E02501,shared_director,0.92,42
E00943,E00566,shared_director,0.27,14
E01237,E01784,supplier,0.41,42
E00737,E01744,parent_company,0.36,25
E02766,E01969,supplier,0.33,27
E00736,E00670,shared_director,0.71,7
E01905,E00339,co-investor,0.72,7
E02687,E01657,supplier,0.24,9
E02354,E02077,shared_director,0.72,1
E01992,E02679,shared_director,0.48,4
E01241,E01741,co-investor,0.77,8
E02473,E01845,co-investor,0.8,46
E01373,E02192,co-investor,0.2,12
E01737,E02178,shared_director,0.88,6
E00616,E00029,co-investor,0.95,46
E02418,E01057,parent_company,0.56,40
E01864,E01782,supplier,0.52,3
E00498,E02006,shared_director,0.43,39
E02812,E01513,co-investor,0.48,44
E01214,E00097,co-investor,0.26,23
E01709,E00072,shared_director,0.39,41
E00146,E02441,supplier,0.42,3
E02177,E01623,parent_company,0.26,35
E00388,E00517,parent_company,0.67,28
E01126,E01415,shared_director,0.72,16
E02145,E02331,shared_director,0.14,21
E01527,E00157,parent_company,0.65,47
E02613,E00415,shared_director,0.56,47
E00323,E01384,co-investor,0.48,2
E00754,E01053,supplier,0.85,28
E00477,E00785,co-investor,1.0,40
E02106,E02209,parent_company,0.72,4
E01533,E02349,shared_director,0.29,28
E01126,E02822,parent_company,0.35,43
E00188,E02477,shared_director,0.92,44
E01168,E01117,supplier,0.47,2
E01698,E02692,parent_company,0.35,30
E02454,E02601,co-investor,0.19,15
E00075,E02905,co-investor,0.3,40
E01179,E02917,shared_director,0.63,41
E02439,E01347,shared_director,0.53,36
E00052,E01405,co-investor,0.39,29
E00622,E01893,shared_director,0.29,45
E00697,E02757,shared_director,0.33,3
E02707,E02341,supplier,0.67,36
E01415,E00341,parent_company,0.77,34
E01513,E01246,co-investor,0.78,29
E02763,E01915,supplier,0.24,38
E00683,E02557,co-investor,0.61,27
E00096,E01163,shared_director,0.99,25
E02202,E00540,shared_director,0.65,8
E00398,E01621,parent_company,0.29,8
E02338,E01186,parent_company,0.88,50
E01643,E02254,shared_director,0.42,14
E01713,E02455,co-investor,0.39,24
E02582,E00433,co-investor,0.55,35
E01607,E00923,shared_director,0.55,30
E01173,E01841,parent_company,0.93,12
E01639,E01182,supplier,0.58,22
E01901,E02688,parent_company,0.72,7
E01571,E02377,shared_director,0.98,27
E00774,E02607,supplier,0.66,9
E02498,E02540,supplier,0.64,47
E01675,E00094,co-investor,0.65,11
E02332,E02563,shared_director,0.72,24
E00094,E02464,shared_director,0.6,13
E00662,E01876,co-investor,0.75,16
E00718,E01935,parent_company,0.39,19
E00266,E00127,parent_company,0.62,30
E01004,E02801,shared_director,0.99,12
E01890,E02049,supplier,0.82,22
E00653,E01003,shared_director,0.75,5
E00029,E00133,shared_director,0.88,31
E01579,E00289,shared_director,0.96,46
E02201,E00496,supplier,0.49,47
E00245,E01200,shared_director,0.85,47
E00164,E01489,shared_director,0.74,33
E02578,E02661,shared_director,0.49,8
E00425,E00598,co-investor,0.78,38
E00458,E00693,co-investor,0.47,22
E00582,E00996,shared_director,0.29,7
E01352,E02630,supplier,0.51,46
E02014,E01003,co-investor,0.41,45
E01822,E01355,shared_director,0.73,37
E01128,E02435,supplier,0.79,10
E02138,E01182,supplier,0.3,24
E02309,E01486,co-investor,0.38,46
E00649,E02326,co-investor,0.53,29
E02758,E01208,parent_company,0.77,45
E00527,E00601,co-investor,0.87,17
E02609,E00934,supplier,0.87,38
E01241,E00608,supplier,0.33,47
E02084,E02117,shared_director,0.53,11
E01410,E02638,parent_company,0.63,33
E01288,E02144,co-investor,0.44,32
E02656,E00693,shared_director,0.26,25
E00059,E02740,supplier,0.41,20
E00846,E00919,parent_company,0.35,50
E00490,E02663,parent_company,0.42,30
E02333,E02616,supplier,0.86,34
E00936,E00830,co-investor,0.7,26
E02566,E00405,co-investor,0.56,18
E02267,E02191,supplier,0.97,4
E01830,E02322,parent_company,0.32,48
E00749,E02826,parent_company,0.31,46
E01869,E00727,supplier,0.98,18
E02261,E01137,supplier,0.77,47
E00261,E00543,co-investor,0.15,15
E01000,E02399,shared_director,0.52,35
E00210,E01307,supplier,0.28,8
E01811,E00342,shared_director,0.28,35
E02415,E00881,shared_director,0.37,1
E02383,E01761,supplier,0.75,29
E02633,E00798,shared_director,0.99,17
E01668,E02464,co-investor,0.54,12
E01347,E02078,shared_director,0.56,42
E01228,E01083,parent_company,0.41,44
E02299,E02061,co-investor,0.66,8
E00747,E01998,supplier,0.39,33
E01928,E02031,parent_company,0.26,49
E01770,E02757,co-investor,0.19,29
E01403,E02613,parent_company,0.27,7
E00950,E00874,co-investor,0.55,21
E02173,E01933,supplier,0.72,40
E00862,E02339,parent_company,0.39,13
E01623,E00704,parent_company,0.65,11
E01334,E02116,shared_director,0.69,27
E01104,E00937,co-investor,0.52,20
E01519,E00594,co-investor,0.4,23
E01292,E01843,co-investor,0.48,26
E01709,E00024,shared_director,0.15,27
E01449,E02646,parent_company,0.98,50
E01124,E00080,parent_company,0.29,46
E01049,E01208,co-investor,0.12,28
E01567,E01335,parent_company,0.82,40
E02061,E01803,co-investor,0.2,16
E00658,E01334,shared_director,0.95,38
E01925,E00189,shared_director,0.72,46
E01995,E01024,co-investor,0.99,38
E01537,E00243,supplier,0.15,22
E01131,E02204,co-investor,0.49,19
E00455,E01933,parent_company,0.89,5
E01330,E01695,parent_company,0.89,38
E01225,E02352,parent_company,0.61,29
E01005,E01343,co-investor,0.6,19
E02825,E00090,parent_company,0.79,5
E02865,E02914,co-investor,0.96,24
E01827,E00880,parent_company,0.39,15
E01888,E01484,co-investor,0.28,46
E01061,E01046,supplier,0.23,42
E01683,E01751,shared_director,0.83,4
E02165,E00247,co-investor,0.11,28
E00132,E02066,co-investor,0.81,32
E01158,E02355,co-investor,0.67,48
E00310,E02316,supplier,0.98,50
E00461,E02179,parent_company,0.82,6
E02351,E01919,parent_company,0.78,50
E02802,E01766,co-investor,0.52,48
E00624,E02665,co-investor,0.17,42
E02357,E01392,shared_director,0.57,45
E01772,E00088,shared_director,0.62,1
E02555,E01598,supplier,0.11,21
E01750,E00617,co-investor,0.87,38
E02763,E01338,shared_director,0.69,13
E02353,E01453,parent_company,0.27,10
E00845,E01264,parent_company,0.19,35
E02466,E00162,parent_company,0.59,5
E01342,E01292,parent_company,0.69,13
E01241,E00669,shared_director,0.99,15
E00890,E01456,supplier,0.22,29
E00505,E01537,supplier,0.5,48
E00855,E01559,supplier,0.5,26
E00814,E00843,shared_director,0.63,8
E00381,E00718,supplier,0.25,14
E00493,E02004,co-investor,0.77,21
E01701,E00783,parent_company,0.99,33
E01474,E01958,co-investor,0.56,30
E00067,E00030,shared_director,0.82,26
E00410,E01453,co-investor,0.95,5
E01779,E02671,co-investor,0.31,45
E00346,E02665,shared_director,0.89,2
E01126,E02652,co-investor,0.14,16
E00727,E02313,supplier,0.22,10
E00575,E02848,shared_director,0.79,4
E02443,E00860,co-investor,0.43,27
E00646,E01718,parent_company,0.26,34
E00621,E02739,parent_company,0.43,8
E00666,E00123,shared_director,0.28,26
E02562,E01529,co-investor,0.66,2
E00106,E01359,supplier,0.9,3
E00592,E01670,supplier,0.59,49
E02452,E02152,parent_company,0.24,1
E01429,E00913,supplier,0.48,5
E00461,E01949,shared_director,0.99,35
E01804,E00551,supplier,0.38,31
E01053,E00526,co-investor,0.69,24
E02514,E02738,supplier,0.53,48
E02340,E00804,parent_company,0.3,9
E00585,E00924,supplier,0.77,46
E01655,E01157,supplier,0.32,17
E00757,E02701,co-investor,0.4,30
E02738,E02420,co-investor,0.78,9
E01344,E01729,co-investor,0.7,38
E00141,E01578,supplier,0.81,12
E00059,E00586,supplier,0.85,16
E00664,E01626,co-investor,0.11,31
E01982,E01409,parent_company,0.67,37
E01662,E01852,parent_company,0.51,17
E02236,E01802,supplier,0.77,42
E02108,E01382,co-investor,1.0,12
E01046,E01397,shared_director,0.79,30
E02717,E00396,co-investor,0.79,17
E00259,E01497,shared_director,0.68,35
E00518,E00388,parent_company,0.98,8
E00493,E02255,co-investor,0.21,23
E01258,E01854,shared_director,0.6,6
E02068,E00748,shared_director,0.84,33
E00799,E00581,parent_company,0.8,13
E01450,E02153,parent_company,0.61,34
E02151,E00193,co-investor,0.59,45
E02175,E00684,co-investor,0.24,44
E00679,E02601,parent_company,0.86,49
E02934,E00623,shared_director,0.87,18
E00201,E01642,co-investor,0.45,34
E01726,E01952,shared_director,0.39,47
E01229,E00002,supplier,0.33,36
E02737,E01277,parent_company,0.93,40
E02433,E00274,supplier,0.78,9
E00589,E01970,parent_company,0.79,16
E01603,E00654,shared_director,0.45,13
E01019,E01436,supplier,0.3,18
E00576,E01645,supplier,0.75,38
E02754,E00622,parent_company,0.5,44
E01129,E01342,supplier,0.67,34
E01275,E02148,supplier,0.79,39
E01930,E00952,shared_director,0.37,8
E02217,E02499,shared_director,0.24,49
E01399,E01115,supplier,0.44,17
E00463,E02568,shared_director,0.48,11
E02908,E02833,shared_director,0.78,15
E02142,E00423,supplier,1.0,39
E02454,E01486,parent_company,0.88,43
E02026,E02874,shared_director,0.48,41
E00431,E01148,co-investor,0.91,41
E02081,E01347,shared_director,0.7,17
E01461,E00341,supplier,0.19,32
E00995,E02400,shared_director,0.3,28
E02727,E01089,supplier,1.0,46
E01999,E02297,shared_director,0.65,43
E01568,E00173,supplier,0.63,42
E00404,E02358,supplier,0.21,49
E00978,E01478,shared_director,0.83,46
E00164,E01423,shared_director,0.87,37
E02142,E00153,shared_director,0.83,41
E01769,E02741,supplier,0.29,12
E00099,E02583,co-investor,0.19,27
E00117,E01871,co-investor,0.42,44
E01410,E01444,parent_company,0.35,4
E01330,E01877,co-investor,0.79,11
E00858,E02288,co-investor,0.77,49
E01428,E00705,shared_director,0.87,22
E01441,E02525,parent_company,0.38,20
E00415,E00371,shared_director,0.38,32
E02620,E00763,shared_director,0.28,46
E01989,E01437,co-investor,0.83,24
E00653,E00691,co-investor,0.11,13
E02384,E01272,co-investor,0.78,35
E00729,E01631,supplier,0.28,6
E02915,E02450,shared_director,0.87,10
E02933,E01394,co-investor,0.46,25
E00425,E01204,supplier,0.39,15
E01813,E00168,parent_company,0.59,43
E01122,E00108,shared_director,0.3,45
E00897,E01005,parent_company,0.5,14
E00596,E00051,co-investor,0.32,2
E02508,E01980,shared_director,0.47,36
E02327,E00788,shared_director,0.27,34
E02380,E01637,shared_director,0.77,46
E01491,E01080,shared_director,0.43,16
E01312,E02214,co-investor,0.17,45
E00551,E01318,parent_company,0.82,38
E00528,E00396,shared_director,0.58,7
E02475,E00934,co-investor,0.75,42
E02270,E00918,shared_director,0.34,4
E01886,E02535,shared_director,0.55,28
E00265,E00702,supplier,0.6,36
E02664,E00236,co-investor,0.53,46
E00606,E00262,co-investor,0.16,47
E01131,E02334,co-investor,0.95,47
E00113,E02923,shared_director,0.49,49
E00547,E01624,parent_company,0.7,20
E02206,E02856,co-investor,0.4,37
E02081,E01668,parent_company,0.79,44
E02404,E01289,supplier,0.97,4
E02917,E01468,supplier,0.8,5
E02515,E00261,shared_director,0.76,47
E00798,E01020,parent_company,0.85,2
E02660,E02028,supplier,0.4,7
E01653,E02352,shared_director,0.82,25
E02853,E01944,parent_company,0.86,12
E00393,E01275,co-investor,0.26,28
E01033,E02047,supplier,0.27,26
E00822,E00929,co-investor,0.99,41
E00335,E01392,shared_director,0.78,34
E01056,E00084,supplier,0.98,4
E02797,E01529,supplier,0.25,34
E00052,E00020,co-investor,0.45,2
E02327,E02308,co-investor,0.87,12
E00773,E02608,shared_director,0.26,14
E01415,E00398,parent_company,0.64,37
E00725,E01806,parent_company,0.56,29
E00125,E02549,supplier,0.94,8
E01277,E01194,supplier,0.41,12
E02418,E02124,parent_company,0.91,32
E00792,E02472,parent_company,1.0,22
E01863,E02698,shared_director,0.81,8
E02740,E02272,supplier,0.4,24
E00580,E00981,shared_director,0.27,26
E00171,E01468,supplier,0.92,31
E02702,E02899,supplier,0.86,6
E02718,E02683,co-investor,0.92,37
E02356,E02877,shared_director,0.78,42
E00824,E01158,co-investor,0.22,49
E00812,E01200,shared_director,0.46,25
E00338,E02009,supplier,0.54,21
E02299,E01983,shared_director,0.38,50
E01177,E02802,supplier,0.57,3
E00771,E00366,co-investor,0.9,48
E02340,E02224,parent_company,0.68,48
E00197,E02189,supplier,0.14,20
E01577,E00772,co-investor,0.97,4
E02803,E01777,parent_company,0.56,44
E02864,E00184,parent_company,0.19,12
E00908,E02919,co-investor,0.17,14
E02029,E00847,supplier,0.14,25
E00844,E02824,supplier,0.93,1
E00985,E02702,co-investor,0.99,25
E00936,E01523,shared_director,0.14,10
E02453,E01009,co-investor,0.89,28
E02787,E02337,co-investor,0.28,42
E01117,E01677,supplier,0.47,27
E01545,E01140,parent_company,0.84,32
E01039,E02459,supplier,0.66,26
E00172,E02851,shared_director,0.22,45
E00914,E00289,supplier,0.2,32
E00273,E00752,co-investor,0.25,48
E01051,E02789,shared_director,0.36,19
E01167,E02336,co-investor,0.2,8
E01618,E00828,supplier,0.6,32
E00823,E00521,supplier,0.52,7
E00457,E00937,supplier,0.85,12
E00343,E02842,supplier,0.32,40
E01520,E01795,parent_company,0.5,50
E00169,E02716,parent_company,0.79,47
E01303,E00180,supplier,0.95,22
E01028,E00719,co-investor,0.52,42
E00232,E01603,shared_director,0.24,19
E02071,E00261,parent_company,0.27,13
E01376,E02696,shared_director,0.12,29
E00285,E01007,co-investor,0.6,10
E02242,E01301,supplier,0.2,5
E01680,E02122,supplier,0.66,11
E01318,E01518,supplier,0.23,7
E02803,E00958,supplier,0.44,37
E00240,E01588,supplier,0.87,49
E02574,E00145,supplier,0.12,31
E02341,E02642,shared_director,0.35,40
E01585,E01842,parent_company,0.71,40
E01025,E01414,shared_director,0.53,10
E01861,E02198,co-investor,0.3,19
E02610,E00715,shared_director,1.0,11
E01508,E00086,shared_director,0.82,10
E00175,E01884,shared_director,0.74,35
E00930,E01648,parent_company,0.86,23
E00853,E01663,shared_director,0.9,30
E01853,E01819,shared_director,0.52,22
E01336,E02726,shared_director,0.22,34
E00844,E01008,parent_company,0.74,37
E00798,E02701,co-investor,0.91,36
E01673,E01536,co-investor,0.29,10
E01927,E00446,shared_director,0.37,50
E02555,E01689,supplier,0.28,22
E02260,E00642,shared_director,0.94,28
E00739,E01815,supplier,0.72,25
E02325,E02733,parent_company,0.35,48
E02788,E02308,parent_company,0.68,37
E00811,E00618,shared_director,0.38,16
E00535,E01994,co-investor,0.65,49
E02509,E02174,supplier,0.71,5
E00352,E00088,supplier,0.93,4
E01358,E00369,co-investor,0.94,23
E00832,E00617,parent_company,0.38,5
E01487,E02553,co-investor,0.63,29
E01946,E01387,parent_company,0.36,7
E02302,E00655,parent_company,0.25,8
E02181,E02533,shared_director,0.24,36
E02576,E01924,co-investor,0.72,16
E00465,E02720,parent_company,0.92,7
E00162,E00556,shared_director,0.53,31
E00699,E00082,co-investor,0.94,38
E02343,E00745,shared_director,0.9,32
E02752,E02322,co-investor,0.9,6
E01516,E00283,parent_company,0.22,20
E02775,E01613,parent_company,0.2,43
E00808,E02598,co-investor,0.36,6
E01453,E02470,shared_director,0.11,38
E01712,E00693,co-investor,0.87,13
E02103,E01148,supplier,0.54,11
E00214,E02660,parent_company,0.73,17
E01839,E01774,co-investor,0.14,48
E02690,E01877,supplier,0.4,3
E00536,E02557,supplier,0.76,2
E01240,E01560,parent_company,0.91,25
E01591,E00148,co-investor,0.73,22
E01503,E02100,shared_director,0.47,22
E00543,E01419,co-investor,0.6,32
E01154,E01093,supplier,0.92,43
E00348,E02729,co-investor,0.88,8
E00095,E00527,supplier,0.32,12
E01530,E00267,parent_company,0.61,16
E00358,E00309,supplier,0.75,48
E01398,E02530,supplier,0.24,41
E01888,E02585,co-investor,0.81,7
E02510,E00500,supplier,0.73,13
E00333,E00761,supplier,0.75,6
E00016,E01774,parent_company,0.29,46
E00326,E01585,co-investor,0.66,13
E01950,E00809,shared_director,0.64,12
E01922,E01180,supplier,0.5,33
E00026,E00326,parent_company,0.98,17
E00590,E02221,parent_company,0.73,45
E00311,E00771,parent_company,0.86,49
E00933,E00666,shared_director,0.67,38
E01216,E02464,shared_director,0.56,19
E00894,E01748,co-investor,0.84,48
E00987,E02174,supplier,0.69,44
E01031,E01153,parent_company,0.16,5
E02024,E01410,supplier,0.66,28
E00328,E02761,shared_director,0.11,48
E02763,E00362,co-investor,0.63,24
E02860,E02790,supplier,0.61,47
E01307,E01847,co-investor,0.77,31
E01518,E02047,co-investor,0.79,21
E02237,E00780,parent_company,0.63,3
E02830,E01446,shared_director,0.52,30
E01329,E01652,shared_director,0.88,30
E01853,E00626,parent_company,0.76,25
E01719,E00101,parent_company,0.81,25
E02590,E00612,shared_director,0.43,28
E02711,E00708,parent_company,0.63,12
E00889,E00389,supplier,0.45,10
E01110,E01382,parent_company,0.12,26
E00649,E01244,co-investor,0.3,32
E02486,E02045,shared_director,0.49,11
E01997,E02728,supplier,0.42,7
E00275,E01325,shared_director,0.65,10
E00964,E02125,shared_director,0.82,27
E02010,E00054,co-investor,0.67,22
E02583,E01273,shared_director,0.65,39
E00531,E02170,co-investor,0.41,24
E02821,E00525,co-investor,0.61,31
E00259,E00073,shared_director,0.43,16
E00858,E01337,parent_company,0.92,21
E02597,E01951,co-investor,0.6,37
E01357,E02861,parent_company,0.91,21
E02592,E02345,parent_company,0.74,40
E00971,E01021,shared_director,0.61,2
E01284,E02093,supplier,0.45,10
E02555,E01318,supplier,0.58,30
E02469,E01090,supplier,0.5,50
E00792,E01132,parent_company,0.43,50
E00242,E01941,parent_company,0.3,1
E01341,E01459,shared_director,0.61,18
E01311,E01986,co-investor,0.64,35
E00820,E02646,parent_company,0.96,39
E02479,E00494,co-investor,0.76,48
E00799,E02145,co-investor,0.32,25
E01733,E02870,supplier,0.37,14
E00591,E01213,supplier,0.13,42
E01727,E00323,co-investor,0.52,10
E01830,E02564,shared_director,0.6,39
E01820,E01287,supplier,0.94,30
E01131,E00811,shared_director,0.36,38
E00527,E01323,supplier,0.21,21
E02264,E01955,co-investor,0.23,47
E01537,E02254,supplier,0.67,42
E01327,E01621,parent_company,0.39,49
E00142,E02637,co-investor,0.39,49
E02329,E00162,supplier,0.75,46
E00541,E02035,supplier,0.93,9
E00621,E00419,parent_company,0.95,16
E00377,E01476,co-investor,0.4,27
E01408,E00285,shared_director,0.46,4
E02150,E01706,shared_director,0.73,36
E00367,E00849,shared_director,0.24,49
E01069,E00932,parent_company,0.15,44
E02285,E00100,supplier,0.68,45
E00924,E01961,supplier,0.14,49
E00953,E00626,parent_company,0.55,21
E01588,E02599,shared_director,0.12,49
E01187,E02017,supplier,0.7,45
E01700,E02253,supplier,0.14,38
E00148,E00856,parent_company,0.62,1
E01432,E02875,supplier,0.62,24
E02086,E00673,shared_director,0.29,35
E00031,E02571,co-investor,0.34,24
E02093,E01591,parent_company,0.85,49
E02489,E01050,co-investor,0.28,17
E01609,E00489,co-investor,0.51,29
E02472,E02669,shared_director,0.28,8
E00171,E01588,supplier,0.77,14
E00820,E02336,co-investor,0.85,44
E00878,E02430,co-investor,0.42,4
E02654,E02565,parent_company,0.61,17
E00889,E02094,supplier,0.38,14
E00742,E01368,parent_company,0.55,47
E01592,E01341,shared_director,0.99,39
E00677,E02014,shared_director,0.6,19
E02733,E01018,supplier,0.65,1
E00128,E02537,supplier,0.87,18
E00001,E01243,shared_director,0.44,37
