enterprise_id,revenue,debt_ratio,liquidity,legal_cases,credit_score,bankrupt
E00634,1629378,0.59,1.45,0,520,1
E00635,5628766,0.32,0.89,1,654,0
E00636,4995832,0.41,1.92,0,526,0
E00637,5829083,0.87,0.75,1,576,0
E00638,3455391,0.6,1.95,1,805,0
E00639,2128762,0.56,0.52,3,556,0
E00640,1173787,0.19,1.22,1,618,0
E00641,6952767,0.11,1.0,0,664,0
E00642,7208098,0.97,1.17,1,563,0
E00643,5605370,0.44,1.36,2,547,0
E00644,3931703,0.64,1.15,0,649,0
E00645,1753908,0.17,1.12,2,657,0
E00646,6126690,0.71,1.6,0,655,0
E00647,2798441,0.94,1.53,1,650,0
E00648,3577402,0.62,1.75,1,724,0
E00649,3826871,0.21,0.87,3,759,0
E00650,4604929,0.62,1.41,1,755,0
E00651,3481919,0.79,1.38,1,560,0
E00652,5066917,0.47,1.05,2,759,0
E00653,3756363,0.89,1.23,4,820,0
E00654,6402746,0.68,0.97,2,661,0
E00655,7062125,0.91,0.71,1,848,0
E00656,5217085,0.66,0.82,1,530,1
E00657,5925252,0.22,0.66,0,570,1
E00658,9235711,0.38,1.52,2,501,0
E00659,2654793,0.28,1.49,2,549,0
E00660,2533063,0.92,1.93,2,634,0
E00661,6389995,0.78,1.59,1,645,0
E00662,8893085,0.71,0.58,2,678,0
E00663,4479002,0.37,1.83,2,763,0
E00664,8453667,0.27,1.79,2,810,0
E00665,5192867,0.78,1.16,1,703,0
E00666,3638225,0.53,1.38,3,798,0
E00667,3018615,0.3,1.96,3,686,0
E00668,6258827,0.65,1.3,1,529,1
E00669,3170081,0.14,1.86,3,558,1
E00670,5162553,0.39,0.62,2,508,0
E00671,8166930,0.52,0.79,4,823,0
E00672,4386439,0.23,1.16,2,666,0
E00673,7628018,0.99,1.38,3,836,0
E00674,2570913,0.29,1.72,1,778,0
E00675,3932181,0.22,1.98,3,690,0
E00676,2185711,0.28,1.08,1,741,0
E00677,5145993,0.79,0.57,3,777,1
E00678,6560156,0.48,1.7,0,653,0
E00679,5150374,0.61,1.41,0,659,0
E00680,7454100,0.12,0.8,1,764,0
E00681,3501641,0.13,1.24,2,734,0
E00682,5450685,0.5,1.61,1,845,0
E00683,3945061,0.83,1.66,0,698,0
E00684,5723353,0.9,1.25,2,532,0
E00685,6007472,0.18,0.96,0,588,0
E00686,6164791,0.58,1.96,3,594,0
E00687,2858811,0.92,1.5,2,720,1
E00688,3220507,0.45,1.11,2,568,0
E00689,3591424,0.85,0.92,1,793,0
E00690,4522238,0.22,1.6,0,736,0
E00691,5174372,0.94,0.86,0,659,0
E00692,6416178,0.78,0.76,1,819,0
E00693,3303802,0.95,1.29,2,827,0
E00694,1797961,0.71,0.93,4,775,0
E00695,9311486,0.43,1.44,3,789,0
E00696,2737093,0.94,0.68,3,541,1
E00697,6672647,0.35,1.48,2,565,0
E00698,5062533,0.4,0.92,1,520,0
E00699,5502611,0.73,0.5,0,834,0
E00700,4996898,0.79,0.69,2,569,0
E00701,4230316,0.94,1.9,0,760,1
E00702,5927944,0.28,1.8,4,745,0
E00703,4122825,0.82,0.85,2,822,0
E00704,7332605,0.76,1.67,0,734,1
E00705,6136882,0.16,1.41,0,771,0
E00706,6199188,0.45,1.96,1,598,0
E00707,3985753,0.35,1.06,1,828,0
E00708,4527290,0.37,1.52,2,534,1
E00709,2624174,0.98,0.6,0,838,1
E00710,4293967,0.68,1.09,0,670,0
E00711,2926848,0.75,1.95,1,609,0
E00712,7626137,0.98,1.31,2,794,0
E00713,5101071,0.44,0.93,1,509,0
E00714,5340994,0.82,0.68,3,701,0
E00715,4549706,0.49,1.56,1,756,0
E00716,5395157,0.88,1.47,1,761,0
E00717,9929755,0.26,1.06,3,680,0
E00718,4399719,0.95,1.93,2,565,1
E00719,3699173,0.3,0.53,2,793,0
E00720,6059386,0.39,0.96,1,660,0
E00721,100000,0.78,1.88,3,566,1
E00722,5127913,0.45,0.98,2,599,0
E00723,4256574,0.65,0.88,2,576,0
E00724,3015373,0.5,1.3,2,534,0
E00725,6015515,0.77,1.74,1,544,1
E00726,5107976,0.31,0.65,2,649,0
E00727,1395182,0.15,1.91,1,567,0
E00728,3706940,0.37,1.69,0,753,0
E00729,100000,0.53,0.77,2,516,0
E00730,5586538,0.25,1.57,1,760,0
E00731,5566598,0.42,1.08,4,712,0
E00732,3413436,0.46,1.1,2,812,0
E00733,6080225,0.15,1.67,1,755,0
E00734,2435002,0.62,1.94,0,715,0
E00735,3066965,0.9,0.69,0,785,1
E00736,5834380,0.24,1.13,2,506,0
E00737,3622666,0.64,1.22,1,698,0
E00738,4874686,0.7,1.06,1,590,0
E00739,3872701,0.48,1.04,2,646,0
E00740,4178137,0.73,0.58,0,649,0
E00741,4265551,0.47,1.53,4,551,1
E00742,3586486,0.55,1.15,1,742,0
E00743,5604899,0.11,0.79,0,718,0
E00744,3744143,0.72,1.72,2,505,0
E00745,5031373,0.7,1.7,0,608,0
E00746,3542536,0.13,1.23,0,565,0
E00747,1931402,0.43,0.95,0,509,0
E00748,6824870,0.98,1.46,0,701,0
E00749,5999053,0.48,0.93,4,781,0
E00750,9577364,0.55,0.85,2,713,0
E00751,2912054,0.92,1.6,4,567,0
E00752,4582079,0.75,0.56,1,746,0
E00753,4742985,0.62,0.64,2,826,0
E00754,6978738,0.82,0.51,1,549,0
E00755,3985784,0.88,0.73,0,516,0
E00756,2657916,0.51,0.6,1,510,0
E00757,7415618,0.53,1.99,2,808,0
E00758,4366699,0.45,0.93,2,805,0
E00759,6757287,0.97,0.72,2,623,0
E00760,6524396,0.73,0.86,1,724,0
E00761,4940219,0.17,1.9,1,743,0
E00762,4651372,0.88,1.28,2,817,0
E00763,4216870,0.53,1.05,0,831,0
E00764,4969613,0.16,1.81,0,845,0
E00765,6726200,0.59,1.09,1,528,0
E00766,3407119,0.48,1.0,2,784,0
E00767,5217691,0.89,0.81,3,558,0
E00768,2762737,0.28,1.07,2,642,0
E00769,3011787,0.84,0.98,1,825,0
E00770,4938122,0.6,1.52,2,799,0
E00771,1079683,0.15,0.93,1,725,0
E00772,9121117,0.97,1.37,3,663,0
E00773,2613880,0.56,0.6,1,583,0
E00774,4919822,0.36,0.79,0,812,0
E00775,7336435,0.52,1.11,1,616,0
E00776,3274189,0.87,1.91,0,819,1
E00777,394606,0.37,1.07,3,703,0
E00778,4110108,0.27,1.5,1,793,0
E00779,3250359,0.22,0.88,2,644,0
E00780,447252,0.37,0.69,1,526,0
E00781,5569779,0.8,0.59,4,516,0
E00782,5414187,0.52,0.96,0,562,0
E00783,7284652,0.3,0.74,0,766,0
E00784,2758355,0.25,0.76,2,563,0
E00785,1801727,0.4,1.64,1,538,0
E00786,4186553,0.95,0.52,2,629,1
E00787,4823314,0.41,1.34,1,614,0
E00788,6842699,0.99,1.07,1,544,0
E00789,7821136,0.54,1.26,0,715,0
E00790,7428958,0.26,1.34,2,587,0
E00791,5553087,0.9,0.97,1,835,0
E00792,6598998,0.51,0.94,0,676,0
E00793,3719013,0.74,1.6,2,764,0
E00794,5336790,0.99,1.81,2,604,0
E00795,2617419,0.15,0.79,1,833,0
E00796,5125370,0.19,0.65,1,800,0
E00797,5177293,0.75,1.85,2,670,0
E00798,8444257,0.35,1.02,1,607,0
E00799,4542034,0.27,1.33,1,660,0
E00800,5180085,0.14,1.04,2,782,0
E00801,5473922,0.12,0.69,0,539,1
E00802,4090359,0.8,1.38,3,525,0
E00803,3395014,0.22,1.29,2,582,0
E00804,7597622,0.52,0.8,1,672,0
E00805,3038165,0.65,1.18,3,672,0
E00806,2344163,0.49,1.7,5,781,0
E00807,6360530,0.12,1.39,1,569,0
E00808,7315629,0.81,0.65,1,822,0
E00809,4097180,0.11,1.32,2,505,0
E00810,4127893,0.79,1.55,2,783,0
E00811,5565087,0.9,1.69,0,694,0
E00812,3584294,0.49,1.44,0,512,0
E00813,3436574,0.58,0.73,4,562,0
E00814,6759185,0.53,1.57,1,512,0
E00815,6214262,0.45,1.52,0,748,0
E00816,7622317,0.9,0.54,0,704,0
E00817,2494821,0.9,1.12,2,752,1
E00818,3995075,0.4,1.0,2,539,0
E00819,5562359,0.65,1.5,3,664,0
E00820,3148758,0.93,0.82,1,530,0
E00821,6283374,0.97,1.39,2,516,0
E00822,7449254,0.56,1.87,2,636,0
E00823,3833284,0.51,1.7,2,819,0
E00824,5077183,0.35,1.88,0,812,0
E00825,7911237,0.96,1.97,1,664,0
E00826,8598543,0.23,0.52,2,780,0
E00827,6491602,0.62,1.43,0,722,0
E00828,6186858,0.35,1.12,0,621,0
E00829,3292526,0.35,1.79,3,577,0
E00830,5718418,0.46,0.88,2,812,0
E00831,6113641,1.0,1.97,2,826,1
E00832,4579259,0.15,1.42,1,587,1
E00833,3810447,0.62,1.69,1,612,0
E00834,2437404,0.17,0.63,0,599,0
E00835,1524540,0.24,0.78,3,802,0
E00836,1104232,0.5,1.64,1,738,0
E00837,6158885,0.56,0.53,0,845,0
E00838,5295398,0.33,1.73,3,610,0
E00839,4032377,0.38,0.52,1,589,0
E00840,4337087,0.18,1.49,2,638,0
E00841,5420941,0.37,1.05,1,634,0
E00842,4670873,0.97,1.42,0,511,0
E00843,2318893,0.95,1.54,2,743,1
E00844,6826000,0.4,1.01,0,681,0
E00845,5608252,0.61,0.66,1,694,0
E00846,5531796,0.92,0.6,1,621,0
E00847,6675125,0.11,1.38,1,552,1
E00848,3372709,0.83,1.28,1,672,0
E00849,7427462,0.95,1.61,1,678,0
E00850,4719914,0.18,1.26,0,792,0
E00851,6777197,0.25,1.13,5,558,0
E00852,6468898,0.96,1.1,0,553,1
E00853,2922396,0.58,0.54,0,756,0
E00854,6005800,0.11,1.0,3,744,0
E00855,5652549,0.33,1.96,1,648,0
E00856,5060623,0.5,1.81,3,783,0
E00857,4811256,0.72,0.99,2,515,0
E00858,4828213,0.76,1.38,2,675,0
E00859,6625378,1.0,1.77,1,527,0
E00860,6155821,0.36,1.16,2,628,0
E00861,5060957,0.58,0.53,0,722,0
E00862,2016127,0.58,0.61,1,743,0
E00863,5988886,0.47,1.27,0,737,0
E00864,6447227,0.25,1.95,1,731,0
E00865,9600820,0.98,1.54,0,825,0
E00866,7150866,0.87,0.61,1,591,0
E00867,1201647,0.55,0.78,1,502,1
E00868,5156858,0.64,1.66,3,580,0
E00869,8622750,0.3,1.76,0,543,0
E00870,6247097,0.59,1.43,0,654,0
E00871,5657304,0.73,1.47,2,523,0
E00872,6800457,0.56,0.54,1,598,0
E00873,3755243,0.99,1.74,4,670,0
E00874,5956179,0.65,1.68,0,647,0
E00875,4499063,0.43,0.89,1,622,0
E00876,4960753,0.79,1.56,2,611,1
E00877,6656909,0.25,0.82,4,629,0
E00878,3146573,0.45,0.56,3,567,0
E00879,7575964,0.41,0.8,1,846,0
E00880,4154376,0.49,0.77,1,815,0
E00881,5521325,0.8,1.01,2,716,0
E00882,2198984,0.54,1.13,0,595,0
E00883,6439674,0.81,1.26,1,644,1
E00884,7893007,0.62,1.22,0,532,0
E00885,3970716,0.41,0.91,1,785,0
E00886,2779553,0.83,0.54,0,504,0
E00887,5555966,0.31,1.41,4,617,0
E00888,7909621,0.3,1.09,1,639,0
E00889,2100286,0.55,0.95,5,729,0
E00890,2787383,0.33,1.8,1,659,0
E00891,4091620,0.11,1.62,0,793,0
E00892,3359312,0.68,1.79,2,748,0
E00893,3365629,0.56,1.24,1,772,0
E00894,811758,0.5,0.7,2,685,0
E00895,6178113,0.97,1.54,3,539,0
E00896,5677441,0.61,0.81,2,723,0
E00897,1602301,0.88,1.16,0,651,0
E00898,7914391,0.23,0.6,1,639,0
E00899,8362184,0.61,1.74,2,627,0
E00900,3498188,0.88,0.69,0,646,0
E00901,7333097,0.62,1.85,0,784,0
E00902,3854004,0.75,1.8,4,717,1
E00903,5362233,0.43,1.2,1,719,0
E00904,3328475,0.18,1.62,2,644,0
E00905,9428503,0.51,1.43,2,828,0
E00906,4407965,0.46,1.7,0,776,0
E00907,5252898,0.88,1.15,2,741,0
E00908,3624125,0.32,1.68,3,559,0
E00909,8722631,0.97,1.19,2,597,1
E00910,8773229,0.96,1.91,2,830,0
E00911,8261858,0.32,1.23,0,680,0
E00912,6912880,0.41,1.19,0,613,0
E00913,3750420,0.91,1.68,3,602,0
E00914,6655700,0.97,1.73,1,835,1
E00915,4985914,0.5,1.33,1,818,0
E00916,7624817,0.39,0.77,1,556,0
E00917,7231804,0.57,1.2,2,784,0
E00918,3701468,0.72,1.95,3,628,0
E00919,6895651,0.35,1.63,2,814,0
E00920,6364068,0.76,1.72,1,585,0
E00921,100000,0.15,0.55,0,699,0
E00922,6601873,0.14,1.2,0,570,0
E00923,4136408,0.45,1.47,1,844,0
E00924,3227915,0.42,1.75,2,597,0
E00925,3313478,0.38,0.57,2,799,0
E00926,4729514,0.54,1.78,2,675,0
E00927,5960119,0.39,1.32,0,732,0
E00928,2269075,0.27,0.8,3,574,0
E00929,5379695,0.38,0.98,2,642,0
E00930,6153516,0.98,0.92,3,522,0
E00931,8723611,0.47,1.3,1,680,0
E00932,2846619,0.5,0.58,2,544,0
E00933,4300775,0.62,0.74,1,591,0
E00934,5523325,0.99,1.72,2,768,1
E00935,7294818,0.32,0.7,1,533,0
E00936,4391552,0.71,0.85,2,665,1
E00937,7397282,0.74,1.18,0,569,1
E00938,1125275,0.65,1.28,0,695,0
E00939,2493303,0.18,1.65,2,632,0
E00940,5697288,0.71,1.17,0,746,0
E00941,2178351,0.16,1.68,0,667,0
E00942,2651058,0.64,1.43,2,776,0
E00943,3944446,0.77,0.67,1,655,0
E00944,6542877,0.29,0.73,6,522,0
E00945,1208070,0.86,1.16,1,699,0
E00946,5340596,0.13,1.1,1,774,0
E00947,7065927,0.86,1.62,0,549,1
E00948,4610109,0.51,1.37,1,685,0
E00949,4262339,0.3,1.08,1,519,0
E00950,5803542,0.22,0.76,4,615,0
E00951,4615777,0.96,0.84,0,591,1
E00952,7780999,0.17,1.36,1,848,0
E00953,2777173,0.28,1.14,0,838,0
E00954,4896711,0.41,1.27,1,552,0
E00955,5411372,0.66,0.76,1,622,0
E00956,4243091,0.59,1.49,0,840,0
E00957,100000,0.21,1.78,0,837,0
E00958,4678190,0.36,0.89,0,764,0
E00959,6800353,0.31,1.24,2,503,1
E00960,6556218,0.29,1.96,1,668,0
E00961,5709556,0.47,1.0,1,780,0
E00962,2804275,0.73,1.39,2,789,0
E00963,5790618,0.3,0.64,4,572,1
E00964,3853124,0.43,1.41,2,636,0
E00965,5706965,0.45,0.63,0,837,0
E00966,5243010,0.98,1.94,1,755,0
E00967,3047249,0.96,1.57,1,640,0
E00968,3215088,0.82,1.68,4,707,0
E00969,5710044,0.32,1.56,0,759,0
E00970,4557773,0.16,1.38,1,762,0
E00971,3319437,0.39,1.17,1,770,0
E00972,3154339,0.34,1.79,2,537,0
E00973,4392338,0.56,1.94,1,702,0
E00974,8136209,0.8,1.25,5,723,0
E00975,3947843,0.87,1.9,2,846,1
E00976,4971960,0.86,1.37,0,551,0
E00977,5203288,0.42,1.31,1,580,0
E00978,2737947,0.72,1.18,2,710,0
E00979,1474335,0.38,0.81,1,506,0
E00980,2946718,0.15,0.51,1,544,0
E00981,5494154,0.73,0.86,1,814,1
E00982,5174662,0.11,1.26,0,776,0
E00983,6404813,0.47,1.07,0,758,0
E00984,5193499,0.4,1.17,0,641,0
E00985,4780901,0.72,1.97,3,757,0
E00986,3791975,0.79,1.03,0,784,0
E00987,6769213,0.37,1.18,1,536,0
E00988,3161639,0.83,0.7,2,544,1
E00989,2779200,0.36,0.57,1,619,1
E00990,6134111,0.5,1.66,1,545,1
E00991,2333685,0.75,1.36,1,639,0
E00992,9829581,0.72,1.64,1,552,0
E00993,5159986,0.99,0.72,1,800,0
E00994,5695812,0.3,1.36,2,787,0
E00995,3383160,0.7,0.88,2,773,0
E00996,4369470,0.65,0.84,1,768,1
E00997,4146485,0.92,0.52,1,778,1
E00998,3916330,0.24,0.7,2,561,0
E00999,6265923,0.78,0.96,1,553,1
E01000,4100847,0.61,0.68,2,568,1
E01001,7035002,0.35,1.98,1,741,0
E01002,10326364,0.53,0.96,3,769,0
E01003,4408917,0.4,0.7,2,751,0
E01004,5304631,0.62,0.8,1,783,0
E01005,5758964,0.9,1.38,2,570,0
E01006,8623009,0.61,0.6,4,822,0
E01007,4834704,0.67,1.79,0,599,0
E01008,3341966,0.57,1.94,3,560,0
E01009,2467318,0.15,0.87,1,602,0
E01010,4884032,0.31,1.18,3,618,0
E01011,4103239,0.54,0.53,0,516,0
E01012,9020018,0.38,1.46,0,804,0
E01013,8539724,0.26,1.12,1,690,0
E01014,2931254,0.55,0.91,4,711,0
E01015,3578479,0.39,0.81,2,577,0
E01016,5147540,0.33,1.48,3,545,0
E01017,7794452,0.52,1.12,2,592,0
E01018,5114026,0.22,0.77,4,512,0
E01019,3705518,0.93,1.53,5,727,0
E01020,4882236,0.88,1.35,2,800,0
E01021,3743030,0.74,1.79,1,516,1
E01022,6204954,0.2,0.68,2,802,0
E01023,3581932,0.8,1.68,2,561,1
E01024,3979127,0.83,1.51,1,542,0
E01025,7323867,0.79,0.67,3,567,0
E01026,3463270,0.2,1.54,2,711,0
E01027,2107743,0.68,1.16,3,702,0
E01028,5189987,0.85,1.92,0,713,0
E01029,4279053,0.62,0.71,1,608,0
E01030,6022831,0.68,1.46,1,783,0
E01031,5634943,0.51,1.07,1,593,0
E01032,4936163,0.58,1.94,1,724,0
E01033,4877913,0.13,0.99,0,724,0
E01034,3528283,0.68,1.94,1,738,0
E01035,5166694,0.17,1.85,3,617,0
E01036,6762569,0.49,0.91,4,590,0
E01037,3053106,0.36,1.71,1,839,0
E01038,4989205,0.59,1.99,0,788,0
E01039,7076777,0.22,0.88,1,780,0
E01040,6010848,0.72,1.16,0,518,1
E01041,7618945,0.82,1.28,1,674,0
E01042,3863715,0.25,0.94,2,605,0
E01043,1338463,0.19,0.52,3,788,0
E01044,5401303,0.23,0.83,2,747,0
E01045,5725141,0.89,0.92,0,822,0
E01046,7736843,0.58,1.17,0,641,0
E01047,7376291,0.52,0.76,1,797,1
E01048,6073487,0.2,1.81,1,692,0
E01049,6530780,0.68,1.56,4,802,0
E01050,4616357,0.88,0.63,1,790,0
E01051,2561770,0.85,1.48,2,831,0
E01052,5235442,0.66,1.48,0,707,0
E01053,6965146,0.17,1.93,3,747,0
E01054,6312721,0.2,0.5,1,641,0
E01055,6667614,0.14,0.87,1,810,1
E01056,4144488,0.33,1.89,2,721,0
E01057,4468906,0.22,1.9,3,724,0
E01058,5966850,0.33,1.58,0,683,0
E01059,3906985,0.45,1.65,3,804,0
E01060,3968565,0.95,0.64,4,687,0
E01061,5595964,0.65,1.27,5,612,0
E01062,6521809,0.85,0.85,0,680,0
E01063,4600942,0.74,0.77,0,698,0
E01064,2673621,0.2,1.72,0,569,0
E01065,3528392,0.76,0.7,0,585,1
E01066,5407344,0.35,1.2,1,538,0
E01067,5383041,0.68,1.91,1,630,0
E01068,5482476,0.41,0.78,0,509,0
E01069,6042590,1.0,1.97,0,502,1
E01070,5011621,0.34,1.99,2,801,0
E01071,5530112,0.35,1.33,3,649,0
E01072,4909946,0.94,0.76,3,566,0
E01073,7297466,0.12,0.97,0,692,0
E01074,7864684,0.73,1.14,4,596,0
E01075,2621977,0.75,0.96,2,518,1
E01076,4489496,0.85,0.92,1,817,1
E01077,5065448,0.98,1.96,0,597,1
E01078,4466170,0.98,0.73,2,556,0
E01079,8585845,0.16,1.6,1,606,0
E01080,5447910,0.84,0.5,2,587,1
E01081,3389256,0.68,1.39,3,640,0
E01082,6192884,0.68,1.87,2,643,0
E01083,5541949,0.22,0.93,4,551,0
E01084,5608385,0.69,0.78,2,711,0
E01085,8615752,0.98,1.48,0,540,1
E01086,5701570,0.92,1.57,2,803,0
E01087,4392676,0.5,1.53,0,590,0
E01088,1089447,0.14,0.98,3,538,0
E01089,4669201,0.43,0.88,0,512,0
E01090,7611939,0.84,1.93,1,595,1
E01091,4817661,0.73,1.88,0,608,0
E01092,519900,0.51,1.19,2,603,0
E01093,4003275,0.15,1.77,0,730,0
E01094,6985377,0.48,1.18,1,542,0
E01095,6091634,0.52,1.14,0,708,0
E01096,3320238,0.94,0.74,1,587,1
E01097,3869430,0.68,1.14,3,592,0
E01098,4178582,0.38,1.31,2,673,0
E01099,3674572,0.57,0.53,0,625,0
E01100,940652,0.16,1.17,1,608,0
E01101,6527182,0.98,1.67,2,546,1
E01102,7514119,0.42,1.52,1,713,0
E01103,1963102,0.53,1.45,1,591,0
E01104,7487705,0.42,1.86,1,680,0
E01105,4793953,0.71,0.53,0,540,0
E01106,7450264,0.7,1.34,1,758,0
E01107,5075900,0.74,1.68,0,620,0
E01108,5271089,0.34,1.31,0,576,0
E01109,5744869,0.38,0.99,2,594,0
E01110,3419867,0.21,0.7,1,768,0
E01111,7389348,0.69,1.83,2,517,1
E01112,2757238,0.14,1.21,2,792,0
E01113,4195866,0.64,1.82,1,670,0
E01114,6048529,0.88,1.38,2,661,0
E01115,3981609,0.9,1.51,0,810,0
E01116,6555062,0.5,1.71,0,551,0
E01117,7751732,0.51,1.49,5,535,0
E01118,7025092,0.17,1.1,0,686,0
E01119,1127769,0.7,1.27,0,747,0
E01120,5251693,0.84,1.7,1,551,0
E01121,7057365,0.32,1.06,0,518,0
E01122,2366502,0.48,1.08,0,591,0
E01123,6447221,0.85,0.64,0,638,0
E01124,6334921,0.89,1.87,1,803,0
E01125,2575820,0.32,0.64,2,719,0
E01126,6668465,0.6,1.47,0,598,0
E01127,5545395,0.27,1.12,1,735,0
E01128,6300763,0.19,1.11,1,706,0
E01129,3067375,0.92,1.52,2,643,0
E01130,5300272,0.84,0.6,1,698,0
E01131,1590242,0.78,1.39,1,802,0
E01132,446017,0.14,1.66,3,822,0
E01133,5281656,0.86,1.74,1,786,0
E01134,7201195,0.49,0.76,0,831,1
E01135,5505873,0.41,1.85,0,763,0
E01136,4873107,0.59,1.48,0,716,0
E01137,4624931,0.18,1.82,2,688,0
E01138,3114869,0.78,1.23,5,543,1
E01139,4556278,0.62,1.31,4,790,0
E01140,5843368,0.27,1.88,1,688,0
E01141,4129555,0.27,1.85,0,693,0
E01142,6501173,0.27,1.17,3,769,0
E01143,5391950,0.15,0.91,3,759,0
E01144,5633958,0.63,1.09,2,738,0
E01145,6777325,0.86,1.08,0,611,0
E01146,3946489,0.12,0.93,1,568,0
E01147,6318761,0.14,0.9,1,548,1
E01148,4227046,0.62,1.79,2,810,0
E01149,5679028,0.84,0.6,4,650,0
E01150,3708457,0.39,1.52,1,738,0
E01151,3178592,0.41,0.76,1,836,0
E01152,5183729,0.64,1.02,1,614,0
E01153,1229599,0.35,0.59,2,574,1
E01154,4407465,0.12,0.9,2,597,1
E01155,1787245,0.76,1.65,3,610,0
E01156,6558468,0.66,1.83,0,784,0
E01157,7100221,0.62,0.83,0,755,1
E01158,3272097,0.77,1.2,3,817,0
E01159,5856625,0.71,1.21,0,808,1
E01160,6798271,0.29,1.81,2,616,0
E01161,6804938,0.42,1.64,1,675,0
E01162,5428901,0.21,1.27,1,727,0
E01163,6468609,0.22,1.51,1,846,0
E01164,3701337,0.71,1.77,1,605,0
E01165,5166244,0.87,0.51,0,841,0
E01166,4065793,0.97,1.1,2,738,1
E01167,3532424,0.67,1.86,3,599,1
E01168,5072126,0.27,1.61,3,675,0
E01169,5695060,0.2,1.31,1,849,0
E01170,7327017,0.83,1.29,2,748,1
E01171,5530311,0.62,1.02,2,575,0
E01172,6283861,0.66,1.28,2,502,0
E01173,6306566,0.8,1.48,1,580,1
E01174,10375068,0.73,1.13,3,787,0
E01175,1379935,0.85,1.57,1,507,1
E01176,3624132,0.15,1.79,1,586,1
E01177,7948112,0.77,0.73,1,785,1
E01178,4295973,0.87,1.18,1,573,0
E01179,6771606,0.36,1.11,3,622,0
E01180,5460019,0.68,1.53,1,793,0
E01181,9210404,0.38,0.87,3,642,0
E01182,2773891,0.96,1.46,4,657,0
E01183,7443601,0.13,1.82,1,608,0
E01184,8499162,0.62,1.13,2,833,0
E01185,2971162,0.25,1.87,0,694,0
E01186,6565740,0.74,1.99,3,535,0
E01187,3069004,0.26,0.66,1,589,0
E01188,5060323,0.31,0.85,2,795,0
E01189,4486824,0.54,1.93,1,829,0
E01190,194492,0.92,1.94,2,700,0
E01191,5848468,0.29,0.65,1,545,0
E01192,5286678,0.23,0.52,4,606,0
E01193,7958157,0.78,0.74,1,669,1
E01194,6222287,0.55,1.99,1,645,0
E01195,9581767,0.92,0.77,1,677,0
E01196,5214084,0.23,1.25,2,560,0
E01197,4788939,0.68,1.77,0,502,0
E01198,4631286,0.31,0.53,1,581,0
E01199,4120822,0.24,1.41,2,762,0
E01200,584498,0.72,0.92,1,786,1
E01201,4559610,0.63,1.79,1,820,0
E01202,864290,0.78,0.93,3,594,0
E01203,5904066,0.38,1.53,1,563,1
E01204,2519879,0.5,1.51,1,745,0
E01205,3211334,0.46,0.83,1,576,0
E01206,3661179,0.99,0.55,4,758,0
E01207,4590129,0.36,1.11,0,592,0
E01208,5013736,0.37,0.93,2,790,0
E01209,7168959,0.42,1.71,4,770,0
E01210,3844939,0.61,1.7,0,520,0
E01211,5960292,0.33,1.19,2,561,0
E01212,10461734,0.92,1.41,1,838,0
E01213,5754701,0.34,1.41,0,759,0
E01214,4639020,0.91,1.74,1,736,0
E01215,3441696,0.19,1.14,0,640,0
E01216,4611336,0.69,0.91,1,666,0
E01217,3227559,0.92,0.9,1,566,0
E01218,5537322,0.25,1.3,0,849,0
E01219,5207088,0.97,1.17,2,557,0
E01220,675561,0.51,1.16,0,711,0
E01221,4962883,0.95,0.64,3,629,1
E01222,7152292,0.71,1.58,1,524,1
E01223,4201776,0.37,0.82,2,510,1
E01224,3694206,0.27,0.8,1,756,0
E01225,2244598,0.37,1.12,0,803,0
E01226,1284015,0.18,0.84,0,580,0
E01227,6662698,0.23,1.38,0,785,0
E01228,4637043,0.19,1.06,2,518,0
E01229,6544043,0.48,1.17,4,609,0
E01230,8062647,0.82,1.31,4,533,0
E01231,6842495,0.23,0.81,1,787,0
E01232,3915255,0.22,0.73,1,831,0
E01233,5289735,0.68,1.82,2,754,0
E01234,3770454,0.28,1.15,2,625,0
E01235,3583423,0.19,1.12,3,708,0
E01236,5685630,0.25,0.55,3,633,0
E01237,3335412,0.93,1.25,2,585,0
E01238,581696,0.84,1.33,1,574,1
E01239,3223704,0.42,1.34,3,634,0
E01240,4386237,0.69,1.56,2,800,0
E01241,8042796,0.58,0.77,0,672,0
E01242,4018125,0.71,0.88,3,712,1
E01243,6023848,0.71,1.72,2,820,0
E01244,4663383,0.67,1.92,3,849,0
E01245,7452810,0.34,0.7,1,518,0
E01246,7314192,0.14,1.25,1,618,0
E01247,7352350,0.51,0.82,1,802,0
E01248,1532032,0.9,0.59,0,801,0
E01249,5413448,0.61,0.99,0,784,1
E01250,6517877,0.85,0.72,3,726,0
E01251,5763077,0.99,1.56,0,711,0
E01252,6273192,0.25,1.3,1,688,0
E01253,5116702,0.72,0.72,4,820,0
E01254,3510431,0.71,0.51,2,650,0
E01255,1605805,0.98,1.71,1,722,0
E01256,3708861,0.99,0.76,3,627,0
E01257,10356219,0.72,1.41,2,747,1
E01258,4028697,0.32,1.01,1,550,0
E01259,1081219,0.82,1.38,0,690,0
E01260,6465298,0.2,0.97,0,736,0
E01261,6710920,0.8,0.63,3,521,1
E01262,7574648,0.92,0.83,3,609,1
E01263,5941957,0.44,0.78,1,826,0
E01264,6691203,0.67,1.14,3,532,0
E01265,8680434,0.49,1.49,1,626,0
E01266,3509053,0.49,0.9,1,543,1
E01267,3112298,0.38,0.52,4,506,1
E01268,2810826,0.79,1.28,1,627,0
